SensorNumber,Businesses_within_100m,Businesses_within_200m,Businesses_within_300m
1,1,33,59
101,2,4,12
103,5,8,19
104,1,2,8
105,0,1,8
11,0,0,2
12,5,11,18
13,1,25,38
14,7,12,21
15,0,0,0
16,0,0,0
18,0,0,0
19,0,16,54
2,7,36,57
20,0,9,51
21,0,3,3
22,0,2,3
23,0,0,0
24,0,0,1
25,0,0,4
26,0,0,4
27,0,0,5
28,0,17,32
29,0,0,12
30,0,4,7
31,12,32,60
32,10,34,58
33,11,34,59
34,5,6,6
35,5,6,6
36,0,0,6
37,0,26,53
38,26,49,58
39,10,33,55
4,6,25,51
40,0,0,18
41,0,3,9
42,0,26,57
43,0,0,0
44,0,0,0
45,0,0,0
47,0,3,4
48,0,2,2
49,7,12,17
5,1,11,54
50,7,13,19
51,0,3,15
54,1,12,39
56,0,1,2
6,1,11,50
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
67,0,0,0
7,2,6,6
8,0,3,6
9,0,1,2
