model,outcome,n_rows,n_sensors,aic,dispersion,dark_coef,dark_percent_change,dark_p_value
Model 1,ped,70836,37,645012.1960958678,0.9230074311491541,-0.4048969518596889,-33.29544548801279,1.4777313641092535e-09
Model 1,cyc,70836,37,497668.12165158417,1.0914339363371286,-0.04046921599995571,-3.9661272876198805,0.446167201637955
Model 2,ped,70836,37,644757.6080394015,0.9199240337013176,-0.39452912632142567,-32.600266785629536,0.022961141509640508
Model 2,cyc,70836,37,497396.93142326584,1.0618072141794854,-0.22896808438083222,-20.46460826872496,0.001468299404504608
Model 3,ped,70836,37,645012.4478422127,0.9220990329905432,-0.4051305531187141,-33.311025936052516,7.913928238128893e-10
Model 3,cyc,70836,37,497669.8145627841,1.0909602213843679,-0.04026410285110623,-3.946427457313584,0.4475081921877906
Model 4,ped,70836,37,644364.697069012,0.8780778381726364,-0.4201424007135395,-34.304673745944434,2.0053919594104314e-09
Model 4,cyc,70836,37,496745.8815499777,1.0877169303746799,-0.04216920792397453,-4.129245406636772,0.35551921179484436
Model 5,ped,70836,37,644583.6425815641,0.9380017265104804,-0.4118490684394087,-33.75757507669114,1.326534037452179e-08
Model 5,cyc,70836,37,497641.73313967173,1.0905838077332537,-0.037708162161543254,-3.7006062044282806,0.4954365157688193
