SensorNumber,Longitude,Latitude,Cluster,ward_name,safety_after_dark_pct,safety_scaled
1,-2.591538,51.453815,Central,Central,53.5,0.4398422090729783
2,-2.592004,51.453865,Central,Central,53.5,0.4398422090729783
4,-2.595743,51.453281,Central,Central,53.5,0.4398422090729783
5,-2.590382,51.453285,Central,Central,53.5,0.4398422090729783
7,-2.620435,51.454567,Outlier,Clifton,81.9,1.0
8,-2.61991,51.453911,Outlier,Clifton,81.9,1.0
9,-2.62552,51.454319,Outlier,Clifton,81.9,1.0
11,-2.60682,51.463131,Outlier,Clifton Down,75.6,0.875739644970414
13,-2.59318,51.452721,Central,Central,53.5,0.4398422090729783
14,-2.58869,51.451591,Central,Central,53.5,0.4398422090729783
15,-2.593,51.407669,Outlier,Hengrove & Whitchurch Park,36.0,0.09467455621301776
16,-2.59207,51.406502,Outlier,Hengrove & Whitchurch Park,36.0,0.09467455621301776
18,-2.59321,51.40678,Outlier,Hartcliffe & Withywood,38.2,0.1380670611439843
19,-2.55208,51.457859,East,St George West,47.9,0.3293885601577909
20,-2.55224,51.45771,East,St George West,47.9,0.3293885601577909
21,-2.55377,51.452221,East,St George West,47.9,0.3293885601577909
22,-2.55413,51.452122,East,Easton,45.6,0.28402366863905326
23,-2.56552,51.45755,East,Lawrence Hill,31.2,0.0
25,-2.56439,51.45668,East,Lawrence Hill,31.2,0.0
26,-2.56438,51.45565,East,Lawrence Hill,31.2,0.0
28,-2.55787,51.45726,East,Easton,45.6,0.28402366863905326
29,-2.56222,51.456741,East,Easton,45.6,0.28402366863905326
31,-2.55117,51.459671,East,St George West,47.9,0.3293885601577909
32,-2.55049,51.45974,East,St George West,47.9,0.3293885601577909
33,-2.5508,51.459839,East,St George West,47.9,0.3293885601577909
35,-2.56035,51.454739,East,Easton,45.6,0.28402366863905326
39,-2.55033,51.459499,East,St George West,47.9,0.3293885601577909
40,-2.54499,51.458118,East,St George West,47.9,0.3293885601577909
41,-2.54301,51.460442,East,St George West,47.9,0.3293885601577909
42,-2.55535,51.457691,East,Easton,45.6,0.28402366863905326
43,-2.55157,51.455051,East,St George West,47.9,0.3293885601577909
44,-2.55153,51.455669,East,St George West,47.9,0.3293885601577909
45,-2.56587,51.456242,East,Lawrence Hill,31.2,0.0
47,-2.55944,51.469219,Outlier,Easton,45.6,0.28402366863905326
101,-2.60026,51.455551,Central,Central,53.5,0.4398422090729783
103,-2.59698,51.45768,Central,Central,53.5,0.4398422090729783
104,-2.60206,51.455559,Central,Central,53.5,0.4398422090729783
