Cluster,Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,A,B,C,D,R_odds,paired_rows
Central,Pedestrians,Dark,23,23:00-23:59,5,05:00-05:59,69957,33478,72333,140577,4.061154065041839,4026
Central,Pedestrians,Dark,23,23:00-23:59,6,06:00-06:59,283143,64430,112879,100031,3.894387432097116,4026
Central,Pedestrians,Dark,23,23:00-23:59,17,17:00-17:59,1388921,190744,180120,32790,1.3255805921568085,4026
Central,Pedestrians,Dark,23,23:00-23:59,18,18:00-18:59,757905,365520,129858,83052,1.3261266799462905,4026
Central,Pedestrians,Dark,23,23:00-23:59,19,19:00-19:59,396979,406728,86757,126153,1.419242209669714,4026
Central,Pedestrians,Dark,23,23:00-23:59,20,20:00-20:59,198010,382744,56341,156569,1.437672478877044,4026
Central,Pedestrians,Dark,0,00:00-00:59,5,05:00-05:59,69957,33478,42422,81993,4.0388461432527665,4026
Central,Pedestrians,Dark,0,00:00-00:59,6,06:00-06:59,283143,64430,67022,57393,3.763216817439219,4026
Central,Pedestrians,Dark,0,00:00-00:59,17,17:00-17:59,1388921,190744,104450,19965,1.3918342802958747,4026
Central,Pedestrians,Dark,0,00:00-00:59,18,18:00-18:59,757905,365520,75829,48586,1.3285547125172437,4026
Central,Pedestrians,Dark,0,00:00-00:59,19,19:00-19:59,396979,406728,50467,73948,1.430152685087459,4026
Central,Pedestrians,Dark,0,00:00-00:59,20,20:00-20:59,198010,382744,32684,91731,1.4519767379549766,4026
Central,Pedestrians,Dark,1,01:00-01:59,5,05:00-05:59,69957,33478,29498,54129,3.834503201187748,4026
Central,Pedestrians,Dark,1,01:00-01:59,6,06:00-06:59,283143,64430,46940,36687,3.434684200627672,4026
Central,Pedestrians,Dark,1,01:00-01:59,17,17:00-17:59,1388921,190744,71084,12543,1.2848612238615218,4026
Central,Pedestrians,Dark,1,01:00-01:59,18,18:00-18:59,757905,365520,51922,31705,1.2661348763068476,4026
Central,Pedestrians,Dark,1,01:00-01:59,19,19:00-19:59,396979,406728,35074,48553,1.3511209682456142,4026
Central,Pedestrians,Dark,1,01:00-01:59,20,20:00-20:59,198010,382744,22803,60824,1.3799448267550944,4026
Central,Pedestrians,Dark,2,02:00-02:59,5,05:00-05:59,69957,33478,20340,40711,4.182466718336058,4026
Central,Pedestrians,Dark,2,02:00-02:59,6,06:00-06:59,283143,64430,33204,27847,3.685578854429477,4026
Central,Pedestrians,Dark,2,02:00-02:59,17,17:00-17:59,1388921,190744,52081,8970,1.2541220022223254,4026
Central,Pedestrians,Dark,2,02:00-02:59,18,18:00-18:59,757905,365520,37074,23977,1.3410007625341505,4026
Central,Pedestrians,Dark,2,02:00-02:59,19,19:00-19:59,396979,406728,24306,36745,1.4755305997303538,4026
Central,Pedestrians,Dark,2,02:00-02:59,20,20:00-20:59,198010,382744,15462,45589,1.5253627254564044,4026
