Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cars,Dark,0,00:00-00:59,5,05:00-05:59,126575.16355564915,72833.35768816403,3,1.2028580695603794,1.8469292191414026,1.7378735180324911,522544,450042,295066,451798,13542,1.7778493371389912,2.2485493158172365
Cars,Dark,0,00:00-00:59,6,06:00-06:59,160011.57632741134,77032.66883843487,3,2.007270966411221,2.656651272411497,2.077191128649741,1428083,506369,426326,320538,13542,2.1204305001637875,2.0391789078070004
Cars,Dark,0,00:00-00:59,17,17:00-17:59,94123.8896216181,73968.99888198209,3,1.1181480563637876,1.7167833955740692,1.2724775384859943,3108844,551951,611220,135644,13542,1.2499753167155316,1.800213289778403
Cars,Dark,0,00:00-00:59,18,18:00-18:59,140482.49336273942,129439.24739977543,3,1.0035612954654207,1.3564925886466588,1.0853160550976988,2089270,1074583,475850,271014,13542,1.107327932150882,1.987837244421999
Cars,Dark,0,00:00-00:59,19,19:00-19:59,139321.07336332722,142439.02497563034,3,0.8608998579011978,1.2182653972515116,0.9781102713049563,1201020,1391667,345391,401473,13542,1.0031369712992413,2.4948437462005746
Cars,Dark,0,00:00-00:59,20,20:00-20:59,116029.24146923995,114037.79919905227,3,0.8780031520638172,1.4491364715589974,1.0174630016027546,666102,1471227,226374,520490,13542,1.0409908118378226,2.260136205576177
Cars,Dark,1,01:00-01:59,5,05:00-05:59,104068.91450675916,61544.13885908336,3,1.0154153332622446,1.7523488563814706,1.690963858395085,522544,450042,221596,335810,13542,1.759549655479647,3.897917678592923
Cars,Dark,1,01:00-01:59,6,06:00-06:59,125453.30274289621,62735.12780963038,3,1.9127020218762267,2.254264156707466,1.9997297705933272,1428083,506369,321792,235614,13542,2.0649625912015206,3.1590315914748333
Cars,Dark,1,01:00-01:59,17,17:00-17:59,72471.00302976722,57777.16513366437,3,1.1966128864313255,1.7078511749788967,1.254319121786422,3108844,551951,457008,100398,13542,1.2373702335717343,1.3697507629356742
Cars,Dark,1,01:00-01:59,18,18:00-18:59,108384.38500753976,102392.21910911554,3,1.0503334138287925,1.136728088908863,1.058521691887921,2089270,1074583,357366,200040,13542,1.088324027159934,2.7383696884635023
