Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,A,B,C,D,R_odds,paired_rows
Pedestrians,Dark,23,23:00-23:59,5,05:00-05:59,124994,84927,108567,216620,2.9365952871454444,13542
Pedestrians,Dark,23,23:00-23:59,6,06:00-06:59,462758,110987,167101,158086,3.944538368685628,13542
Pedestrians,Dark,23,23:00-23:59,17,17:00-17:59,2156486,295902,263561,61626,1.704047024924829,13542
Pedestrians,Dark,23,23:00-23:59,18,18:00-18:59,1249607,564360,190676,134511,1.5619926761453555,13542
Pedestrians,Dark,23,23:00-23:59,19,19:00-19:59,678415,622258,130570,194617,1.6250335155928712,13542
Pedestrians,Dark,23,23:00-23:59,20,20:00-20:59,342378,587022,84995,240192,1.6482255159330341,13542
Pedestrians,Dark,0,00:00-00:59,5,05:00-05:59,124994,84927,65715,134441,3.0109989577354725,13542
Pedestrians,Dark,0,00:00-00:59,6,06:00-06:59,462758,110987,103125,97031,3.923090877790467,13542
Pedestrians,Dark,0,00:00-00:59,17,17:00-17:59,2156486,295902,158596,41560,1.9097743308136745,13542
Pedestrians,Dark,0,00:00-00:59,18,18:00-18:59,1249607,564360,115934,84222,1.6085403312847852,13542
Pedestrians,Dark,0,00:00-00:59,19,19:00-19:59,678415,622258,78485,121671,1.6901504596311743,13542
Pedestrians,Dark,0,00:00-00:59,20,20:00-20:59,342378,587022,50919,149237,1.7094173876608658,13542
Pedestrians,Dark,1,01:00-01:59,5,05:00-05:59,124994,84927,48419,97033,2.94949066746274,13542
Pedestrians,Dark,1,01:00-01:59,6,06:00-06:59,462758,110987,76211,69241,3.7881528492219645,13542
Pedestrians,Dark,1,01:00-01:59,17,17:00-17:59,2156486,295902,114172,31280,1.996668093462676,13542
Pedestrians,Dark,1,01:00-01:59,18,18:00-18:59,1249607,564360,84144,61308,1.613285460549455,13542
Pedestrians,Dark,1,01:00-01:59,19,19:00-19:59,678415,622258,57554,87898,1.6650544258911353,13542
Pedestrians,Dark,1,01:00-01:59,20,20:00-20:59,342378,587022,37390,108062,1.685656225844585,13542
Pedestrians,Dark,2,02:00-02:59,5,05:00-05:59,124994,84927,37495,77927,3.0588486055639796,13542
Pedestrians,Dark,2,02:00-02:59,6,06:00-06:59,462758,110987,58855,56567,4.007389959010322,13542
Pedestrians,Dark,2,02:00-02:59,17,17:00-17:59,2156486,295902,89681,25741,2.091817128348857,13542
Pedestrians,Dark,2,02:00-02:59,18,18:00-18:59,1249607,564360,65591,49831,1.6821804251584493,13542
Pedestrians,Dark,2,02:00-02:59,19,19:00-19:59,678415,622258,44682,70740,1.7260660250913982,13542
Pedestrians,Dark,2,02:00-02:59,20,20:00-20:59,342378,587022,29523,85899,1.6969892625679253,13542
Pedestrians,Daylight,9,09:00-09:59,5,05:00-05:59,124994,84927,660830,948897,2.1133562190308925,13542
Pedestrians,Daylight,9,09:00-09:59,6,06:00-06:59,462758,110987,966987,642740,2.7713827907437687,13542
Pedestrians,Daylight,9,09:00-09:59,17,17:00-17:59,2156486,295902,1391974,217753,1.1400706520729262,13542
Pedestrians,Daylight,9,09:00-09:59,18,18:00-18:59,1249607,564360,1057807,551920,1.155279108587462,13542
Pedestrians,Daylight,9,09:00-09:59,19,19:00-19:59,678415,622258,754708,855019,1.2351558652383476,13542
Pedestrians,Daylight,9,09:00-09:59,20,20:00-20:59,342378,587022,502968,1106759,1.2834063392579598,13542
Pedestrians,Daylight,10,10:00-10:59,5,05:00-05:59,124994,84927,799794,1013554,1.8651429945985163,13542
Pedestrians,Daylight,10,10:00-10:59,6,06:00-06:59,462758,110987,1143428,669920,2.4428451798232294,13542
Pedestrians,Daylight,10,10:00-10:59,17,17:00-17:59,2156486,295902,1586391,226957,1.0426344903502347,13542
Pedestrians,Daylight,10,10:00-10:59,18,18:00-18:59,1249607,564360,1235004,578344,1.0368957507498107,13542
Pedestrians,Daylight,10,10:00-10:59,19,19:00-19:59,678415,622258,909285,904063,1.0839858714207598,13542
Pedestrians,Daylight,10,10:00-10:59,20,20:00-20:59,342378,587022,605719,1207629,1.162823526347885,13542
