Year,Indicator_Reference_Number,Priority_Indicator,Public_Title,Theme,Polarity,Bristol_average,Sample_Size,Standard_Error,Lower_Confidence_Limit,Upper_Confidence_Limit,Ward_name,Ward_e_codes,Group_,ICS_name,ICS_code,Ward_Group_Statistic,Standard_Error_1,Lower_Confidence_Limit_2,Upper_Confidence_Limit_3,Sample_Size_response,p_value,Statistical_Significance,Gap,FID
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Ashley,E05010885,,,,49.3,5.382358,39.0,59.8,140.0,,no difference,7.1,76992
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Avonmouth & Lawrence Weston,E05010886,,,,60.3,4.876551,50.4,69.3,123.0,,no difference,3.9,76993
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Bedminster,E05010887,,,,70.1,4.427184,60.8,78.0,113.0,,better,13.7,76994
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Bishopston & Ashley Down,E05010888,,,,74.6,4.04593,65.9,81.7,126.0,,better,18.2,76995
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Bishopsworth,E05010889,,,,47.0,4.780322,37.9,56.4,117.0,,no difference,9.4,76996
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Brislington East,E05010890,,,,50.7,4.865749,41.2,60.1,110.0,,no difference,5.7,76997
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Brislington West,E05010891,,,,67.9,4.756464,58.0,76.5,104.0,,better,11.5,76998
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Central,E05010892,,,,53.5,5.397306,42.9,63.7,112.0,,no difference,2.9,77000
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Clifton,E05010893,,,,81.9,4.661478,70.9,89.3,110.0,,better,25.5,77002
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Clifton Down,E05010894,,,,75.6,4.474499,65.9,83.3,127.0,,better,19.2,77004
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Cotham,E05010895,,,,75.6,3.788329,67.4,82.2,116.0,,better,19.2,77007
